RecordingCreated,SessionOwner,SessionName,SessionIdentifier,SessionInstanceIdentifier,NumberOfUniqueAttendees,RecordingName,RecordingLink,RecordingDuration,StorageUsageGigabytes,HasUserCaptions,HasLiveCaptions,PlaybackCount,LastPlaybackDate,DownloadCount,LastDownloadDate,RecordingStatus,ContextName,ContextIdentifier,ExternalContextID
7/12/2016 16:35,POC-LEARNSE_demo_bb_com,Course Room,4D9C4BEC10EBCB497191981A90026A32,14d08810-040a-4e39-9ec9-8cbbd9c33f57,1,recording_1,https://us.bbcollab.com/recording/F6586175A32E383B3EA0267C5FB73A78,0:00:08,0.000072682,FALSE,FALSE,0,,0,,done,Original Test,jdkTest1,bbd1a19f8d13427f8ba2ced93e7d3fda
7/25/2016 14:23,MOODLEROOMSE67YHR3FD,Mrs. Hopkin's Office Hours,A416B1E21D49769D1C7C533BB384307F,0ca50913-f77e-4bdf-82af-bf99564637d2,1,recording_1,https://us.bbcollab.com/recording/73DC08545A2C4D3C9FC1254096387835,0:01:12,0.000596177,FALSE,FALSE,0,,0,,done,,,
8/3/2016 15:08,POC-LEARNSE_demo_bb_com,Content Development Course,BF3477D7D6B32041F4C26EF3A1D3235B,a7b89d2d-2333-48e3-a3e7-f5e7a255ce2c,1,recording_1,https://us.bbcollab.com/recording/C4BE5CAC30138F7858D3094F55788AD6,0:00:43,0.004900018,FALSE,FALSE,1,6/8/2022 17:35,0,,done,Content Development Course,DEV_CRS_thenningsen,a371619b2a26406d949ba883f436e342
8/9/2016 6:13,MOODLEROOMSE67YHR3FD,Oman projektisuunnitelman esittely,2BC9BC315CB4AE7C03360EEA4F1185AE,d9b8fac5-8d2c-4e76-92e6-4f66c52afe19,1,recording_1,https://us.bbcollab.com/recording/87DC764156038531AF665538C601999B,0:00:33,0.001243928,FALSE,FALSE,0,,0,,done,,,
8/10/2016 14:35,LEARNDEMONEW1,Course Room,D3EC08C85669218FC40E0502511B13E9,8370bf26-b4c7-4cca-a43c-6c5f99f1d702,1,recording_1,https://us.bbcollab.com/recording/1FBEB017CD683FC5349BC7DF232562C0,0:01:39,0.002615557,FALSE,FALSE,0,,0,,done,Introduction to Astronomy - Ultra,AST_101_ttenningsen,f64c0c64a3dc4efdb43fafe1645ab0fa
8/16/2016 8:26,MOODLEROOMSE67YHR3FD,Opintojakson loppupalaute,160F52A8C5DEBF26900BE1EA825931BE,2edc995b-6303-41bf-91fe-f55ab105937e,23,recording_1,https://us.bbcollab.com/recording/F7184B7101CCF300CC650044F6178E3D,0:03:49,0.006468392,FALSE,FALSE,0,,0,,done,,,
8/16/2016 12:22,MOODLEROOMSE67YHR3FD,Erityisluento,E6FAA76685CD215893948D85BB53E58C,f8df6c6a-7a7f-48e5-be3e-d1814d30a88e,22,recording_1,https://us.bbcollab.com/recording/2D0902DA4B6FA5DBCEBA866C20D9D8BF,0:15:00,0.014590207,FALSE,FALSE,0,,0,,done,,,
8/18/2016 7:11,MOODLEROOMSE67YHR3FD,Oman projektisuunnitelman esittely,6012DE3B8997BEA9B92200A6B25030F6,d12853ad-be98-48b4-853c-f144aeaf1450,1,recording_1,https://us.bbcollab.com/recording/F9B0AED93C681CBCF66F9DFC905E1E93,0:00:40,0.00018592,FALSE,FALSE,0,,0,,done,,,
8/22/2016 12:33,POC-LEARNSE_demo_bb_com,Content Development Course,BF3477D7D6B32041F4C26EF3A1D3235B,42fab759-4028-4cf1-8317-e2ae9d5ffbb6,1,recording_1,https://us.bbcollab.com/recording/BD49ADE1B802FB5D644F2FEEBAEE3665,0:01:08,0.006691675,FALSE,FALSE,0,,0,,done,Content Development Course,DEV_CRS_thenningsen,a371619b2a26406d949ba883f436e342
8/31/2016 21:27,LEARNNAHESALESDEMO,Unit 1 Review Session,CE1F2155563D106649735C536ED586A5,6760abb7-4d36-4ee3-80ab-fcb928bf78db,4,recording_1,https://us.bbcollab.com/recording/B4D1BC2AE4D2E68E539C02B41F7C4762,0:06:23,0.017186633,FALSE,FALSE,0,,0,,done,Introduction to Biology (Original),BIO_101_Original_thenningsen,9ab4f5343ee6475f8b49569b56908c7b
9/1/2016 18:31,,Tammy Jolley's Course Room,A1C0751C1B941A4EEC54E3B6F10A6CB0,2934712b-05b9-4307-80c2-ae9220a6ec87,1,recording_1,https://us.bbcollab.com/recording/173607C45D21F266F0BB7A3A88E8CC24,0:00:43,0.00368851,FALSE,FALSE,0,,0,,done,,,_2547_1
9/8/2016 15:29,,Edgar Gonzalez Test 2 Course Room,902939044F48F0AD4467BD6F13696C25,5dbdd554-4c2c-4db1-bf83-4656dd66cfaf,1,recording_1,https://us.bbcollab.com/recording/143680AF57FB26CAF9EE6479F013A83F,0:00:19,0.000212368,FALSE,FALSE,0,,0,,done,,,_2561_1
9/8/2016 15:29,,Edgar Gonzalez Test 2 Course Room,902939044F48F0AD4467BD6F13696C25,5dbdd554-4c2c-4db1-bf83-4656dd66cfaf,1,recording_1,https://us.bbcollab.com/recording/7A72A76060B8EECF70669C00F48A10A7,0:00:19,0,FALSE,FALSE,0,,0,,done,,,_2561_1
9/8/2016 15:53,,Edgar Gonzalez Test 2 Course Room,902939044F48F0AD4467BD6F13696C25,3c056386-c4c6-461f-9077-7b54963beb57,1,recording_1,https://us.bbcollab.com/recording/8F7F5F80D9F59F761C21C66414FE2BCB,0:00:54,0.000878093,FALSE,FALSE,0,,0,,done,,,_2561_1
9/9/2016 19:36,POC-LEARNSE_demo_bb_com,Study Room,E2BFED64844DD1A7529B9480A8216F61,ddc8e295-340e-49da-b88c-703d5fb113ac,1,recording_1,https://us.bbcollab.com/recording/5D4E7C668A7F8700EBD0A5C16F8BD23C,0:00:42,0.000191656,FALSE,FALSE,0,,6,6/10/2022 22:06,done,Introduction to Advertising - Original,ADV_101_rvela,4b244dac2b394900bba66bf3920dd4b2
9/9/2016 19:38,POC-LEARNSE_demo_bb_com,Introduction to Advertising - Original,53D22D36971F159717D870233AF594A6,86b6c5ee-718e-490d-8722-1e2890bf894a,1,recording_1,https://us.bbcollab.com/recording/F143F2C22ADCA0EFA41505550540DF17,0:00:37,0.00010608,FALSE,FALSE,0,,0,,done,Introduction to Advertising - Original,ADV_101_rvela,4b244dac2b394900bba66bf3920dd4b2
9/9/2016 19:42,,Introduction to Advertising - Original Room,9E4FBC6036834EBB74247EA967C9CABE,e1d89a89-239f-4709-a74e-451ecd2acf24,1,recording_1,https://us.bbcollab.com/recording/A7F8E6DED3E22DA8E169CA8AEEFC46E2,0:01:06,0.000172467,FALSE,FALSE,0,,0,,done,,,_1376_1
9/9/2016 19:43,,Introduction to Advertising - Original Room,9E4FBC6036834EBB74247EA967C9CABE,e1d89a89-239f-4709-a74e-451ecd2acf24,1,recording_2,https://us.bbcollab.com/recording/20E9CBC5252018B2329309E2E35CC446,0:00:11,0.000057817,FALSE,FALSE,0,,0,,done,,,_1376_1
9/22/2016 9:45,MOODLEROOMSE67YHR3FD,Kurssin aloitus,5C587FB16F5C36958BE2A0EAA3A00F21,b32a0138-e4a0-431e-9581-e34c3c93e35d,1,recording_1,https://us.bbcollab.com/recording/1E4E9896FBFD1E3AFBBE1E4224EFB5BB,0:00:21,0.00010166,FALSE,FALSE,0,,0,,done,,,
9/22/2016 18:30,LEARNNAHESALESDEMO,Testing 9/22/2016,A47A45685F09A6EAD883EADAF44757B8,e5be4c67-dd1f-415b-8c2b-1dc3bafaeade,5,recording_1,https://us.bbcollab.com/recording/CAC564FBABAF0557ECB7CA1D8EF824C9,0:13:55,0.063578406,FALSE,FALSE,0,,0,,done,Introduction to Advertising,ADV_101_ssmith,39eb1ebaa0b944cd8a2c5ae52fdcc4ad
